,screen_name,stance,med
1073,zombiemommy,1,False
1076,LXV,1,False
1078,juliewa43117224,0,False
1080,AdamG620,-1,False
1081,PBarSr,1,False
1082,psychlyst1,-1,False
1084,johnnylaticia,-1,False
1088,TrialsiteN,-1,False
1090,AYinSD,-1,False
1093,ACleverNickname,-1,False
1095,McDonnellMJ,0,False
1096,kjblank80,-1,False
1098,LXV,1,False
1099,VictoriaVanHor7,1,False
1100,Carolyn40911932,1,False
1101,stinaxlynn85,-1,False
1102,fahshah17,1,False
1103,nycbiker,1,False
1105,4n6guyphilly,1,False
1106,griffinjones25,1,False
1107,DaksAges,-1,False
1109,TaxDaRichPlease,-1,False
1112,DeinosPro,-1,False
1113,MaxKennerly,-1,False
1115,Sud0Mike,-1,False
1116,Carolyn40911932,-1,False
1117,mosheroperandi,-1,False
1119,TeresaMac2009,-1,False
1120,super_dawny,-1,False
1121,GodandtheBear,-1,False
1122,TheDividedStat3,0,True
1123,nataliesurely,-1,False
1124,ZaqsTech,1,False
1125,giggitygreg,1,False
1126,Carolyn40911932,-1,False
1128,hunter_zeraphel,1,False
1129,ms101phd,0,False
1131,TheeNickKoski,-1,False
1132,Carolyn40911932,-1,False
1134,Mattison_MA,-1,False
1135,shawnschexy,-1,False
1139,quickwitter,-1,False
1140,TrialsiteN,0,False
1141,danaparish,1,False
1144,spiceyresistor,-1,False
1145,GoogMan88,0,False
1150,AdamLoos12,0,False
1152,barbarawaxer,0,False
1155,sunejen2000,-1,False
1164,edaustin24,1,True
1165,Carolyn40911932,-1,False
1168,SomeGuyOnTheIn,-1,False
1171,super_dawny,1,False
1173,hfrank6048,1,False
1177,awesley777,-1,False
1178,wardeerent,1,False
1179,cestith,-1,True
1180,4n6guyphilly,1,False
1181,SamVanivray,-1,False
1182,RobertFosterMD1,-1,False
1184,TrialsiteN,0,False
1190,Carolyn40911932,-1,False
1192,ThankfulCook,-1,False
1193,MajikaZulJin,-1,False
1196,DeirgVanStein,-1,False
1198,umbrellaplunger,-1,False
1199,SimonMDoughty,-1,False
1201,marti85cr,0,False
1203,NV96308613,1,False
1204,Carolyn40911932,-1,False
1206,1Injun,-1,False
1208,CryanGrim,-1,False
1210,ChuckWagon645,-1,False
1216,cmdunn1972,0,False
1220,leadfreeH2OinDC,0,False
1221,Carolyn40911932,-1,False
1222,Carolyn40911932,-1,False
1223,hfrank6048,-1,False
1224,CtownBnnaPantz,0,False
1225,ElisafromCA,0,False
1229,Carolyn40911932,-1,False
1230,primpaws1234,-1,False
1234,KelleyKga,1,False
1235,GaryConkling,-1,False
1237,DeirgVanStein,-1,False
1238,1termDesantis,-1,False
1239,PaulHerzog3,-1,False
1240,storygrrl,-1,False
1243,therealannamac,-1,False
1245,Carolyn40911932,1,False
1247,politicalmablog,-1,False
1249,CryanGrim,1,False
1257,nowell_ben,-1,False
1259,Ethnography911,0,False
1260,Evelyn31721,1,False
1265,art_lover10,-1,False
1275,AdamG620,-1,False
1277,Highway_30,1,False
1278,RoyEHill,1,False
1280,boulware_dr,0,True
